strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
thompson,25,ambient,35,34,147.3598,Ca0.50 H0.50,302.17,0.3029
thompson,26,ambient,35,30,67.4969,C0.19 Ce0.30 H0.51,263.17,0.3041
thompson,27,ambient,35,33,168.1078,Mg0.45 S0.08 H0.48,213.66,0.3019
thompson,28,ambient,35,33,42.5512,Y0.01 La0.14 H0.85,44.10,0.3086
thompson,29,ambient,35,30,117.6873,Ce0.04 Li0.53 H0.43,134.34,0.3031
thompson,30,ambient,35,31,154.6442,Li0.24 Y0.25 H0.50,456.66,0.3015
thompson,31,ambient,35,29,109.3553,Ca0.43 C0.02 H0.54,87.52,0.2970
thompson,32,ambient,35,32,122.0297,Mg0.24 S0.25 H0.51,52.27,0.3040
thompson,33,ambient,35,30,81.6584,S0.04 Li0.60 H0.36,449.20,0.3023
thompson,34,ambient,35,30,250.4845,S0.16 Li0.39 H0.46,437.95,0.3033
thompson,35,ambient,35,32,209.7778,S0.25 Mg0.31 H0.44,376.80,0.3092
thompson,36,ambient,35,31,89.2411,C0.02 Li0.58 H0.40,70.49,0.3048
thompson,37,ambient,35,32,288.9153,S0.08 Ca0.42 H0.50,388.78,0.3003
thompson,38,ambient,35,29,74.0937,Li0.58 C0.03 H0.38,456.49,0.3067
thompson,39,ambient,35,34,170.1420,S0.29 Li0.25 H0.46,151.84,0.3074
thompson,40,ambient,35,32,302.5147,Li0.29 C0.21 H0.50,29.89,0.3027
thompson,41,ambient,35,32,148.1792,Li0.53 H0.47,85.17,0.3000
thompson,42,ambient,35,32,216.3806,La0.22 S0.30 H0.48,390.77,0.3011
thompson,43,ambient,35,30,45.9625,Ce0.14 H0.86,102.48,0.2999
thompson,44,ambient,35,28,146.3285,Li0.52 H0.48,236.15,0.2986
thompson,45,ambient,35,28,132.1570,B0.12 Li0.37 H0.51,280.42,0.2964
thompson,46,ambient,35,33,48.2961,Y0.03 B0.16 H0.81,179.86,0.2980
thompson,47,ambient,35,31,159.0074,Y0.19 S0.39 H0.42,24.62,0.2985
thompson,48,ambient,35,31,151.2485,Y0.13 Li0.39 H0.48,234.96,0.3032
thompson,49,ambient,35,29,41.8629,Li0.64 H0.36,367.35,0.3064
